ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,perni nani ,ap development,tadipatri,nandigama
6DlpRlHYdeo,2019-06-30,0.9973721504211426,2299.0,Sakshi,468.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bvDlahc0Muc,2019-12-21,0.9977107048034668,1884.0,Sakshi,142.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORM1wPRdNTw,2019-12-21,0.9981443881988524,1918.0,Sakshi,247.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7RuxRyPIuI,2019-12-22,0.9987970590591432,515.0,Sakshi,181.0,0.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
fLFANDA-GpE,2019-12-23,0.9986701011657716,5570.0,Sakshi,270.0,13.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
KhKUiTTX_80,2019-12-24,0.998572587966919,2936.0,Sakshi,264.0,7.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
099KP3Y1MCI,2020-03-07,-0.9952130317687988,32299.0,Sakshi,126.0,24.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
XEYzhS8Xc2s,2020-03-11,0.9918084740638732,10817.0,Sakshi,440.0,4.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IYXRfkI1MUM,2020-03-17,-0.999304175376892,36812.0,Sakshi,273.0,26.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0
p97cThYScE4,2021-02-16,-0.9985112547874452,26553.0,Sakshi,268.0,41.0,peddapuram.png,Nimmakayala Chinarajappa,TDP,Peddapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
